fileName,startTime,endTime,fileLength,fileSize,deltaTime
s08347-2897-08-03-12-12n.hea.csv,12:12:02 03/08/2897,00:54:02 04/08/2897,763,84,58
s08363-3427-07-06-12-02n.hea.csv,12:02:19 06/07/3427,00:57:19 08/07/3427,2216,272,102
s08368-2653-07-01-13-02n.hea.csv,13:02:39 01/07/2653,14:40:39 01/07/2653,99,20,1720
s08368-2653-07-01-16-36n.hea.csv,16:36:39 01/07/2653,20:58:39 07/07/2653,8903,1492,1934
s08368-2653-07-07-23-55n.hea.csv,23:55:39 07/07/2653,16:07:39 18/07/2653,15373,2524,11013
s08368-2653-07-20-13-16n.hea.csv,13:16:47 20/07/2653,09:16:47 21/07/2653,1201,196,29094
s08368-2653-07-21-11-45n.hea.csv,11:45:47 21/07/2653,16:53:47 24/07/2653,4629,764,30443
s08422-3115-07-20-15-47n.hea.csv,15:47:39 20/07/3115,01:16:39 22/07/3115,2010,220,48
s08422-3115-07-22-02-33n.hea.csv,02:33:39 22/07/3115,22:16:39 25/07/3115,5504,612,2134
s08445-3357-01-19-22-59n.hea.csv,22:59:14 19/01/3357,04:29:14 20/01/3357,331,44,28973
s08445-3357-01-20-14-05n.hea.csv,14:05:20 20/01/3357,05:22:20 21/01/3357,918,116,29879
s08451-2595-07-24-22-56n.hea.csv,22:56:00 24/07/2595,16:02:00 27/07/2595,3907,440,73
s08461-2796-07-08-14-33n.hea.csv,14:33:59 08/07/2796,09:49:59 19/07/2796,15557,1908,16486
s08461-2796-07-19-11-19n.hea.csv,11:19:59 19/07/2796,23:46:59 21/07/2796,3628,436,32132
s08467-2662-09-24-13-06n.hea.csv,13:06:42 24/09/2662,09:53:42 25/09/2662,1248,216,102
s08493-3305-12-31-12-34n.hea.csv,12:34:37 31/12/3305,11:45:37 01/01/3306,1392,140,1501
s08532-3464-06-01-13-16n.hea.csv,13:16:27 01/06/3464,11:21:27 02/06/3464,1326,220,-1286
s08532-3464-06-02-14-45n.hea.csv,14:45:27 02/06/3464,17:10:27 07/06/3464,7346,1224,243
s08557-2746-06-10-04-25n.hea.csv,04:25:32 10/06/2746,15:12:32 15/06/2746,7848,872,73
s08566-3361-08-30-21-33n.hea.csv,21:33:53 30/08/3361,22:01:53 30/08/3361,29,4,38605
s08566-3361-08-31-08-56n.hea.csv,08:56:53 31/08/3361,13:33:53 01/09/3361,1718,228,39288
s08566-3361-09-01-15-25n.hea.csv,15:25:53 01/09/3361,16:10:53 03/09/3361,2926,384,41117
s08566-3361-09-03-17-12n.hea.csv,17:12:53 03/09/3361,13:07:53 08/09/3361,6956,944,44104
s08566-3361-09-08-12-50n.hea.csv,12:50:26 08/09/3361,13:08:26 08/09/3361,19,4,51042
s08566-3361-09-08-16-54n.hea.csv,16:54:26 08/09/3361,16:10:26 09/09/3361,1397,176,51286
s08566-3361-09-09-17-17n.hea.csv,17:17:26 09/09/3361,11:59:26 14/09/3361,6883,856,52749
s08568-3378-06-12-17-24n.hea.csv,17:24:14 12/06/3378,17:42:14 13/06/3378,1459,164,245
s08568-3378-06-13-19-20n.hea.csv,19:20:14 13/06/3378,19:59:14 13/06/3378,40,8,1801
s08569-3439-10-07-20-25n.hea.csv,20:25:46 07/10/3439,14:00:46 08/10/3439,1056,136,597952
s08569-3439-10-08-14-08n.hea.csv,14:08:32 08/10/3439,14:10:32 10/10/3439,2883,356,599015
s08718-2706-04-11-14-15n.hea.csv,14:15:02 11/04/2706,17:35:02 13/04/2706,3081,352,7179
s08718-2706-04-13-17-38n.hea.csv,17:38:29 13/04/2706,13:28:29 17/04/2706,5511,692,10262
s08718-2706-04-17-15-07n.hea.csv,15:07:29 17/04/2706,16:42:29 20/04/2706,4416,548,15871
s08723-3233-09-29-12-37n.hea.csv,12:37:32 29/09/3233,07:49:32 30/09/3233,1153,192,140
s08749-3410-08-16-19-27n.hea.csv,19:27:13 16/08/3410,15:37:13 18/08/3410,2651,300,166
s08779-2517-08-30-12-58n.hea.csv,12:58:17 30/08/2517,10:34:17 01/09/2517,2737,372,146
s08790-2707-09-11-22-46n.hea.csv,22:46:00 11/09/2707,19:58:00 13/09/2707,2713,340,154
s08822-3105-03-07-10-31n.hea.csv,10:31:44 07/03/3105,13:16:44 14/03/3105,10246,1092,510838
s08832-3034-12-17-05-40n.hea.csv,05:40:07 17/12/3034,07:10:07 24/12/3034,10171,1260,52080
s08870-3125-09-07-07-45n.hea.csv,07:45:41 07/09/3125,13:00:41 10/09/3125,4636,672,168
s08870-3125-09-10-14-55n.hea.csv,14:55:41 10/09/3125,09:10:41 14/09/3125,5416,784,4918
s08870-3125-09-14-11-51n.hea.csv,11:51:41 14/09/3125,14:00:41 15/09/3125,1570,228,10494
s08870-3125-09-15-14-07n.hea.csv,14:07:12 15/09/3125,12:16:12 16/09/3125,1330,144,12070
s08879-2879-07-29-13-50n.hea.csv,13:50:31 29/07/2879,12:50:31 31/07/2879,2821,316,57
s08890-3119-06-20-12-21n.hea.csv,12:21:07 20/06/3119,08:18:07 21/06/3119,1198,192,320
s08890-3119-06-21-11-00n.hea.csv,11:00:07 21/06/3119,13:31:07 24/06/3119,4472,696,1679
s08905-3437-02-27-22-15n.hea.csv,22:15:49 27/02/3437,10:09:49 04/03/3437,6475,792,-774
s08905-3437-02-28-13-48n.hea.csv,13:48:27 28/02/3437,17:16:27 28/02/3437,209,28,159
s08905-3437-02-28-21-42n.hea.csv,21:42:27 28/02/3437,12:53:27 03/03/3437,3792,464,633
s08905-3437-03-03-15-08n.hea.csv,15:08:27 03/03/3437,11:57:27 04/03/3437,1250,152,4559
s08905-3437-03-04-12-04n.hea.csv,12:04:49 04/03/3437,12:45:49 07/03/3437,4362,516,5815
s08947-3142-04-16-15-58n.hea.csv,15:58:19 16/04/3142,00:35:19 26/04/3142,13478,1664,38926
s08989-2835-09-14-14-57n.hea.csv,14:57:00 14/09/2835,09:20:00 25/09/2835,15504,1728,114964
s08996-3298-01-30-12-33n.hea.csv,12:33:33 30/01/3298,11:41:33 07/02/3298,11469,1248,31153
s09001-3118-09-06-23-52n.hea.csv,23:52:09 06/09/3118,15:21:09 07/09/3118,930,168,206
s09001-3118-09-07-17-10n.hea.csv,17:10:09 07/09/3118,20:10:09 09/09/3118,3061,540,1244
s09016-3389-04-28-19-26n.hea.csv,19:26:08 28/04/3389,23:29:08 28/04/3389,244,40,858072
s09043-3103-03-04-12-40n.hea.csv,12:40:37 04/03/3103,10:07:37 06/03/3103,2728,304,60
s09043-3103-03-06-14-16n.hea.csv,14:16:37 06/03/3103,15:58:37 07/03/3103,1543,172,3036
s09043-3103-03-07-18-50n.hea.csv,18:50:37 07/03/3103,18:54:37 07/03/3103,5,4,4750
s09048-3199-10-25-14-55n.hea.csv,14:55:00 25/10/3199,13:46:00 26/10/3199,1372,236,278
s09070-3459-04-18-18-06n.hea.csv,18:06:28 18/04/3459,16:55:28 19/04/3459,1370,220,-38
s09112-2543-04-04-12-04n.hea.csv,12:04:56 04/04/2543,14:56:56 08/04/2543,5933,992,89
s09130-3096-05-18-14-31n.hea.csv,14:31:33 18/05/3096,15:29:33 22/05/3096,5819,796,4651
s09139-3168-05-09-17-20n.hea.csv,17:20:45 09/05/3168,19:48:45 12/05/3168,4469,552,53
s09176-3282-07-13-14-24n.hea.csv,14:24:10 13/07/3282,17:01:10 13/07/3282,158,20,-315
s09176-3282-07-13-20-40n.hea.csv,20:40:10 13/07/3282,18:58:10 15/07/3282,2779,300,61
s09178-2764-07-26-15-49n.hea.csv,15:49:00 26/07/2764,05:52:00 28/07/2764,2284,348,-2622
s09178-2764-07-28-08-04n.hea.csv,08:04:00 28/07/2764,08:05:00 28/07/2764,2,4,-207
s09178-2764-07-28-09-09n.hea.csv,09:09:00 28/07/2764,11:38:00 28/07/2764,150,24,-142
s09178-2764-07-28-13-27n.hea.csv,13:27:00 28/07/2764,11:02:00 29/07/2764,1296,196,116
s09178-2764-07-28-15-19n.hea.csv,15:19:00 28/07/2764,08:39:00 29/07/2764,1041,160,228
s09178-2764-07-29-13-02n.hea.csv,13:02:00 29/07/2764,08:47:00 04/08/2764,8386,1324,1531
s09233-3287-04-17-02-52n.hea.csv,02:52:52 17/04/3287,10:52:52 21/04/3287,6241,844,342
s09249-2572-09-16-00-21n.hea.csv,00:21:00 16/09/2572,15:39:00 18/09/2572,3799,480,91
s09249-2572-09-18-19-08n.hea.csv,19:08:00 18/09/2572,10:21:00 22/09/2572,5234,652,4098
s09251-3322-02-28-03-20n.hea.csv,03:20:10 28/02/3322,08:50:10 02/03/3322,3211,292,316121
s09251-3322-03-02-13-35n.hea.csv,13:35:10 02/03/3322,14:00:10 03/03/3322,1466,132,319616
s09268-3145-07-14-10-40n.hea.csv,10:40:24 14/07/3145,02:57:24 15/07/3145,978,108,86
s09268-3145-07-15-06-40n.hea.csv,06:40:24 15/07/3145,15:58:24 16/07/3145,1999,224,1286
s09269-2627-07-09-13-33n.hea.csv,13:33:20 09/07/2627,17:44:20 09/07/2627,252,40,95
s09278-2506-07-28-21-59n.hea.csv,21:59:34 28/07/2506,08:52:34 29/07/2506,654,112,118961
s09278-2506-07-29-10-39n.hea.csv,10:39:34 29/07/2506,13:36:34 30/07/2506,1618,272,119721
s09278-2506-07-30-14-56n.hea.csv,14:56:34 30/07/2506,03:01:34 03/08/2506,5046,856,121418
s09278-2506-08-03-08-51n.hea.csv,08:51:34 03/08/2506,09:48:34 03/08/2506,58,12,126813
s09289-3426-08-04-12-21n.hea.csv,12:21:06 04/08/3426,12:30:06 05/08/3426,1450,160,5589
s09330-3170-08-07-19-15n.hea.csv,19:15:37 07/08/3170,10:41:37 12/08/3170,6687,1128,139
s09330-3170-10-07-18-50n.hea.csv,18:50:28 07/10/3170,19:51:28 09/10/3170,2942,332,87954
s09335-2947-10-02-02-20n.hea.csv,02:20:24 02/10/2947,16:09:24 03/10/2947,2270,280,119
s09335-2947-10-06-14-34n.hea.csv,14:34:09 06/10/2947,19:13:09 09/10/2947,4600,516,6613
s09338-2932-12-24-21-48n.hea.csv,21:48:44 24/12/2932,13:05:44 29/12/2932,6678,980,74
